order_date,region,category,revenue,profit,quantity,month,season
2025-06-04,Germany,Sports,50,12.5,2,6,Summer
2024-01-09,USA,Books,80,20.0,1,1,Winter
2025-03-14,China,Toys,398,99.5,2,3,Spring
2023-03-19,China,Electronics,899,224.75,1,3,Spring
2023-04-05,Canada,Sports,447,111.75,3,4,Spring
2025-07-15,France,Apparel,236,59.0,4,7,Summer
2023-08-01,UK,Books,240,60.0,3,8,Summer
2023-07-25,India,Apparel,360,90.0,3,7,Summer
2024-03-04,India,Electronics,899,224.75,1,3,Spring
2024-05-08,Germany,Books,80,20.0,1,5,Spring
2025-06-14,UK,Apparel,220,55.0,2,6,Summer
2025-02-20,Canada,Electronics,796,199.0,4,2,Winter
2023-04-23,China,Electronics,3996,999.0,4,4,Spring
2023-08-23,France,Electronics,999,249.75,1,8,Summer
2025-05-15,UK,Electronics,2997,749.25,3,5,Spring
2024-08-26,China,Electronics,4495,1123.75,5,8,Summer
2023-10-10,Brazil,Apparel,220,55.0,2,10,Autumn
2023-03-16,Canada,Apparel,118,29.5,2,3,Spring
2024-09-23,Canada,Electronics,995,248.75,5,9,Autumn
2024-06-16,USA,Home & Kitchen,1197,299.25,3,6,Summer
2025-04-16,India,Toys,398,99.5,2,4,Spring
2023-10-28,Japan,Toys,796,199.0,4,10,Autumn
2024-01-12,China,Electronics,229,57.25,1,1,Winter
2024-06-12,Japan,Electronics,4995,1248.75,5,6,Summer
2024-06-21,Australia,Toys,295,73.75,5,6,Summer
2023-10-24,UK,Electronics,687,171.75,3,10,Autumn
2025-04-10,USA,Electronics,597,149.25,3,4,Spring
2025-01-30,Brazil,Electronics,916,229.0,4,1,Winter
2024-06-22,France,Books,258,64.5,2,6,Summer
2023-08-13,Canada,Electronics,597,149.25,3,8,Summer
2024-12-31,France,Apparel,440,110.0,4,12,Winter
2023-05-18,Australia,Apparel,59,14.75,1,5,Spring
2024-11-25,Brazil,Toys,597,149.25,3,11,Autumn
2023-03-11,USA,Electronics,2697,674.25,3,3,Spring
2025-03-14,China,Toys,177,44.25,3,3,Spring
2025-06-10,France,Home & Kitchen,396,99.0,4,6,Summer
2024-11-07,Canada,Toys,295,73.75,5,11,Autumn
2024-08-05,UK,Books,240,60.0,3,8,Summer
2025-01-28,Japan,Books,516,129.0,4,1,Winter
2023-02-06,USA,Electronics,398,99.5,2,2,Winter
2023-07-04,USA,Electronics,3596,899.0,4,7,Summer
2023-06-02,Australia,Toys,199,49.75,1,6,Summer
2023-01-18,USA,Sports,25,6.25,1,1,Winter
2023-04-15,Canada,Home & Kitchen,1995,498.75,5,4,Spring
2024-09-15,Brazil,Toys,796,199.0,4,9,Autumn
2023-07-24,Germany,Books,129,32.25,1,7,Summer
2023-03-06,Australia,Electronics,597,149.25,3,3,Spring
2023-05-18,Japan,Toys,199,49.75,1,5,Spring
2025-01-03,Canada,Home & Kitchen,99,24.75,1,1,Winter
2023-05-30,India,Books,516,129.0,4,5,Spring
2023-05-18,UK,Home & Kitchen,99,24.75,1,5,Spring
2023-08-26,Japan,Electronics,1798,449.5,2,8,Summer
2024-08-07,Canada,Home & Kitchen,1596,399.0,4,8,Summer
2025-01-12,USA,Books,320,80.0,4,1,Winter
2023-08-10,Canada,Electronics,1145,286.25,5,8,Summer
2024-04-07,Japan,Toys,597,149.25,3,4,Spring
2025-04-07,Brazil,Apparel,550,137.5,5,4,Spring
2025-04-26,India,Electronics,4495,1123.75,5,4,Spring
2025-02-20,USA,Home & Kitchen,297,74.25,3,2,Winter
2023-05-12,USA,Electronics,916,229.0,4,5,Spring
2022-09-05,Australia,Books,80,20.0,1,9,Autumn
2022-11-21,India,Toys,236,59.0,4,11,Autumn
2023-04-22,Brazil,Apparel,360,90.0,3,4,Spring
2023-10-19,France,Electronics,458,114.5,2,10,Autumn
2024-09-05,Canada,Apparel,118,29.5,2,9,Autumn
2024-10-17,UK,Sports,596,149.0,4,10,Autumn
2022-11-18,Australia,Electronics,597,149.25,3,11,Autumn
2022-11-19,Germany,Books,258,64.5,2,11,Autumn
2025-02-28,Germany,Electronics,687,171.75,3,2,Winter
2023-09-19,Japan,Apparel,480,120.0,4,9,Autumn
2023-08-15,Germany,Home & Kitchen,495,123.75,5,8,Summer
2022-09-26,UK,Electronics,597,149.25,3,9,Autumn
2024-08-16,Japan,Toys,398,99.5,2,8,Summer
2023-06-15,UK,Electronics,899,224.75,1,6,Summer
2022-10-24,Japan,Books,516,129.0,4,10,Autumn
2025-06-22,Brazil,Sports,745,186.25,5,6,Summer
2023-12-28,China,Apparel,550,137.5,5,12,Winter
2025-04-23,France,Electronics,995,248.75,5,4,Spring
2024-05-11,Canada,Electronics,4995,1248.75,5,5,Spring
2024-03-21,Japan,Toys,177,44.25,3,3,Spring
2024-12-21,Australia,Apparel,220,55.0,2,12,Winter
2023-03-23,USA,Toys,995,248.75,5,3,Spring
2024-08-18,Canada,Sports,298,74.5,2,8,Summer
2025-05-30,USA,Apparel,600,150.0,5,5,Spring
2023-02-28,Brazil,Apparel,236,59.0,4,2,Winter
2022-10-03,France,Home & Kitchen,798,199.5,2,10,Autumn
2025-03-31,UK,Home & Kitchen,495,123.75,5,3,Spring
2025-02-04,China,Home & Kitchen,1197,299.25,3,2,Winter
2024-10-04,Japan,Electronics,1998,499.5,2,10,Autumn
2024-04-13,India,Electronics,458,114.5,2,4,Spring
2025-07-14,UK,Toys,59,14.75,1,7,Summer
2025-05-30,Australia,Electronics,199,49.75,1,5,Spring
2022-08-30,France,Electronics,2697,674.25,3,8,Summer
2023-10-14,Brazil,Toys,118,29.5,2,10,Autumn
2025-05-17,China,Sports,50,12.5,2,5,Spring
2024-04-28,USA,Books,129,32.25,1,4,Spring
2024-03-22,Japan,Electronics,999,249.75,1,3,Spring
2024-08-23,Brazil,Books,129,32.25,1,8,Summer
2025-04-24,India,Books,516,129.0,4,4,Spring
2025-04-02,India,Toys,199,49.75,1,4,Spring
2023-01-19,India,Apparel,59,14.75,1,1,Winter
2024-02-29,Germany,Apparel,59,14.75,1,2,Winter
2022-12-30,Japan,Sports,149,37.25,1,12,Winter
2024-02-27,China,Electronics,916,229.0,4,2,Winter
2023-07-12,Australia,Books,258,64.5,2,7,Summer
2025-02-20,Germany,Apparel,360,90.0,3,2,Winter
2023-02-15,Australia,Toys,236,59.0,4,2,Winter
2023-03-06,USA,Apparel,600,150.0,5,3,Spring
2023-04-01,UK,Books,387,96.75,3,4,Spring
2024-03-23,Canada,Sports,149,37.25,1,3,Spring
2023-03-13,China,Home & Kitchen,297,74.25,3,3,Spring
2023-04-27,China,Books,240,60.0,3,4,Spring
2025-05-11,Brazil,Home & Kitchen,396,99.0,4,5,Spring
2025-01-04,India,Sports,149,37.25,1,1,Winter
2023-06-15,Canada,Apparel,220,55.0,2,6,Summer
2025-01-14,Japan,Sports,596,149.0,4,1,Winter
2024-09-21,Brazil,Electronics,899,224.75,1,9,Autumn
2024-05-23,Germany,Toys,59,14.75,1,5,Spring
2022-11-23,Brazil,Home & Kitchen,495,123.75,5,11,Autumn
2022-10-10,India,Apparel,120,30.0,1,10,Autumn
2022-10-15,France,Apparel,600,150.0,5,10,Autumn
2025-05-09,USA,Electronics,796,199.0,4,5,Spring
2024-04-10,Australia,Apparel,600,150.0,5,4,Spring
2024-04-18,France,Electronics,687,171.75,3,4,Spring
2025-04-10,Canada,Sports,745,186.25,5,4,Spring
2024-08-13,Germany,Electronics,999,249.75,1,8,Summer
2023-05-25,China,Electronics,199,49.75,1,5,Spring
2022-10-18,France,Home & Kitchen,1995,498.75,5,10,Autumn
2025-06-26,India,Electronics,3596,899.0,4,6,Summer
2023-04-07,Canada,Electronics,597,149.25,3,4,Spring
2023-08-14,Brazil,Electronics,3596,899.0,4,8,Summer
2025-01-04,Brazil,Apparel,550,137.5,5,1,Winter
2025-03-24,Canada,Home & Kitchen,1596,399.0,4,3,Spring
2023-06-28,France,Electronics,398,99.5,2,6,Summer
2023-06-19,Canada,Apparel,550,137.5,5,6,Summer
2024-08-19,Canada,Electronics,1798,449.5,2,8,Summer
2023-01-29,Japan,Electronics,999,249.75,1,1,Winter
2025-07-12,China,Home & Kitchen,396,99.0,4,7,Summer
2024-05-24,France,Books,80,20.0,1,5,Spring
2022-12-01,UK,Sports,25,6.25,1,12,Winter
2022-09-09,Brazil,Sports,25,6.25,1,9,Autumn
2023-07-30,France,Books,516,129.0,4,7,Summer
2024-02-29,UK,Electronics,1145,286.25,5,2,Winter
2024-08-10,Brazil,Apparel,480,120.0,4,8,Summer
2024-05-06,France,Electronics,1798,449.5,2,5,Spring
2025-06-29,Brazil,Electronics,199,49.75,1,6,Summer
2024-09-11,USA,Electronics,2697,674.25,3,9,Autumn
2025-04-17,Canada,Electronics,916,229.0,4,4,Spring
2024-05-05,Germany,Toys,177,44.25,3,5,Spring
2025-01-20,Brazil,Books,645,161.25,5,1,Winter
2024-12-15,USA,Home & Kitchen,399,99.75,1,12,Winter
2023-02-04,Australia,Home & Kitchen,399,99.75,1,2,Winter
2023-03-13,Germany,Home & Kitchen,798,199.5,2,3,Spring
2025-01-24,UK,Home & Kitchen,99,24.75,1,1,Winter
2024-01-25,France,Electronics,458,114.5,2,1,Winter
2025-04-06,Brazil,Electronics,796,199.0,4,4,Spring
2023-08-12,Brazil,Sports,50,12.5,2,8,Summer
2024-12-13,India,Electronics,999,249.75,1,12,Winter
2025-08-02,Japan,Electronics,796,199.0,4,8,Summer
2023-04-13,Germany,Books,258,64.5,2,4,Spring
2022-11-17,USA,Electronics,3996,999.0,4,11,Autumn
2023-12-06,India,Home & Kitchen,1197,299.25,3,12,Winter
2022-09-04,Japan,Books,129,32.25,1,9,Autumn
2023-07-15,USA,Apparel,295,73.75,5,7,Summer
2023-08-18,India,Sports,75,18.75,3,8,Summer
2024-01-24,Australia,Toys,398,99.5,2,1,Winter
2023-02-10,UK,Apparel,177,44.25,3,2,Winter
2025-08-16,Japan,Home & Kitchen,1596,399.0,4,8,Summer
2024-06-15,China,Apparel,118,29.5,2,6,Summer
2024-06-22,Canada,Electronics,3996,999.0,4,6,Summer
2023-11-20,China,Electronics,3596,899.0,4,11,Autumn
2023-11-19,France,Electronics,458,114.5,2,11,Autumn
2023-06-29,Canada,Electronics,916,229.0,4,6,Summer
2023-08-12,Canada,Toys,59,14.75,1,8,Summer
2025-07-18,Brazil,Sports,100,25.0,4,7,Summer
2024-02-14,Japan,Toys,177,44.25,3,2,Winter
2022-11-17,France,Apparel,120,30.0,1,11,Autumn
2023-11-28,France,Books,320,80.0,4,11,Autumn
2023-04-29,India,Sports,25,6.25,1,4,Spring
2022-11-23,Australia,Sports,125,31.25,5,11,Autumn
2024-09-29,Canada,Toys,398,99.5,2,9,Autumn
2024-09-09,USA,Electronics,2697,674.25,3,9,Autumn
2024-10-20,Brazil,Apparel,220,55.0,2,10,Autumn
2024-10-19,France,Apparel,177,44.25,3,10,Autumn
2022-10-10,USA,Sports,745,186.25,5,10,Autumn
2023-06-29,China,Home & Kitchen,1596,399.0,4,6,Summer
2023-08-21,France,Books,240,60.0,3,8,Summer
2023-07-09,India,Toys,118,29.5,2,7,Summer
2023-12-06,Japan,Apparel,110,27.5,1,12,Winter
2022-10-13,UK,Home & Kitchen,99,24.75,1,10,Autumn
2022-10-18,UK,Sports,100,25.0,4,10,Autumn
2023-03-21,USA,Books,320,80.0,4,3,Spring
2025-02-18,China,Home & Kitchen,198,49.5,2,2,Winter
2022-10-24,Brazil,Apparel,440,110.0,4,10,Autumn
2023-05-27,USA,Sports,298,74.5,2,5,Spring
2023-07-19,Germany,Home & Kitchen,99,24.75,1,7,Summer
2023-08-24,Canada,Apparel,236,59.0,4,8,Summer
2023-11-22,Japan,Apparel,550,137.5,5,11,Autumn
2025-06-05,China,Apparel,360,90.0,3,6,Summer
2024-03-12,USA,Apparel,236,59.0,4,3,Spring
2023-06-06,Australia,Electronics,398,99.5,2,6,Summer
2023-12-03,China,Sports,50,12.5,2,12,Winter
2022-11-16,Australia,Electronics,3996,999.0,4,11,Autumn
2024-03-27,France,Electronics,999,249.75,1,3,Spring
2024-01-16,India,Books,320,80.0,4,1,Winter
2023-03-14,France,Books,387,96.75,3,3,Spring
2023-12-25,Australia,Sports,596,149.0,4,12,Winter
2022-09-09,Germany,Home & Kitchen,198,49.5,2,9,Autumn
2024-05-12,China,Toys,118,29.5,2,5,Spring
2024-08-30,Australia,Toys,59,14.75,1,8,Summer
2025-03-23,UK,Sports,298,74.5,2,3,Spring
2022-09-27,Brazil,Books,240,60.0,3,9,Autumn
2024-11-01,Australia,Electronics,2697,674.25,3,11,Autumn
2025-05-07,Canada,Toys,295,73.75,5,5,Spring
2023-01-25,Germany,Books,80,20.0,1,1,Winter
2023-08-04,Brazil,Electronics,999,249.75,1,8,Summer
2024-11-07,Australia,Toys,236,59.0,4,11,Autumn
2023-05-06,Japan,Electronics,4995,1248.75,5,5,Spring
2022-10-23,Japan,Electronics,3996,999.0,4,10,Autumn
2025-01-16,Germany,Toys,597,149.25,3,1,Winter
2024-10-01,Germany,Electronics,916,229.0,4,10,Autumn
2024-08-21,Brazil,Books,320,80.0,4,8,Summer
2025-01-23,Brazil,Apparel,118,29.5,2,1,Winter
2023-03-15,China,Electronics,999,249.75,1,3,Spring
2022-12-08,Japan,Apparel,295,73.75,5,12,Winter
2024-02-28,India,Home & Kitchen,396,99.0,4,2,Winter
2024-12-08,France,Sports,447,111.75,3,12,Winter
2025-06-10,UK,Electronics,3596,899.0,4,6,Summer
2023-11-21,USA,Home & Kitchen,1596,399.0,4,11,Autumn
2022-11-20,Australia,Electronics,999,249.75,1,11,Autumn
2025-08-17,China,Books,645,161.25,5,8,Summer
2023-07-02,Australia,Apparel,295,73.75,5,7,Summer
2023-02-15,China,Apparel,295,73.75,5,2,Winter
2024-12-27,France,Home & Kitchen,1596,399.0,4,12,Winter
2025-06-19,China,Toys,398,99.5,2,6,Summer
2022-10-24,Australia,Books,129,32.25,1,10,Autumn
2023-07-10,Canada,Toys,59,14.75,1,7,Summer
2023-10-17,Germany,Toys,199,49.75,1,10,Autumn
2025-02-09,Japan,Toys,995,248.75,5,2,Winter
2022-10-18,France,Toys,995,248.75,5,10,Autumn
2023-03-31,Japan,Books,240,60.0,3,3,Spring
2025-01-15,France,Apparel,236,59.0,4,1,Winter
2023-03-21,USA,Electronics,398,99.5,2,3,Spring
2022-11-21,USA,Home & Kitchen,1197,299.25,3,11,Autumn
2025-02-26,India,Home & Kitchen,495,123.75,5,2,Winter
2024-03-18,Japan,Electronics,4495,1123.75,5,3,Spring
2025-03-25,India,Home & Kitchen,399,99.75,1,3,Spring
2025-06-27,USA,Electronics,1145,286.25,5,6,Summer
2024-01-21,China,Electronics,1798,449.5,2,1,Winter
2024-01-13,Japan,Sports,25,6.25,1,1,Winter
2023-09-29,Australia,Electronics,995,248.75,5,9,Autumn
2023-04-15,Australia,Home & Kitchen,798,199.5,2,4,Spring
2024-07-13,Australia,Electronics,4495,1123.75,5,7,Summer
2024-02-23,Germany,Electronics,1998,499.5,2,2,Winter
2023-06-13,UK,Apparel,480,120.0,4,6,Summer
2024-03-30,Japan,Apparel,360,90.0,3,3,Spring
2024-08-05,Brazil,Electronics,199,49.75,1,8,Summer
2023-06-25,USA,Home & Kitchen,399,99.75,1,6,Summer
2024-06-25,China,Electronics,2697,674.25,3,6,Summer
2024-05-10,India,Books,129,32.25,1,5,Spring
2023-04-30,Germany,Sports,100,25.0,4,4,Spring
2024-02-26,Brazil,Home & Kitchen,495,123.75,5,2,Winter
2023-04-18,Australia,Home & Kitchen,495,123.75,5,4,Spring
2024-07-29,Brazil,Electronics,2997,749.25,3,7,Summer
2024-11-10,USA,Toys,118,29.5,2,11,Autumn
2025-01-13,India,Electronics,3596,899.0,4,1,Winter
2023-07-13,USA,Toys,398,99.5,2,7,Summer
2024-05-20,China,Books,129,32.25,1,5,Spring
2022-10-13,Japan,Electronics,1798,449.5,2,10,Autumn
2024-10-23,China,Sports,100,25.0,4,10,Autumn
2024-12-16,Germany,Home & Kitchen,495,123.75,5,12,Winter
2025-08-06,USA,Apparel,600,150.0,5,8,Summer
2025-05-23,Canada,Apparel,440,110.0,4,5,Spring
2024-07-28,China,Home & Kitchen,1995,498.75,5,7,Summer
2024-11-25,Brazil,Electronics,597,149.25,3,11,Autumn
2023-06-07,Brazil,Electronics,199,49.75,1,6,Summer
2024-04-17,Brazil,Home & Kitchen,198,49.5,2,4,Spring
2025-06-23,USA,Electronics,3996,999.0,4,6,Summer
2022-11-19,India,Electronics,999,249.75,1,11,Autumn
2024-06-09,Germany,Apparel,440,110.0,4,6,Summer
2023-10-30,China,Home & Kitchen,1596,399.0,4,10,Autumn
2024-06-16,China,Apparel,600,150.0,5,6,Summer
2025-03-01,UK,Electronics,999,249.75,1,3,Spring
2023-06-30,Japan,Apparel,120,30.0,1,6,Summer
2024-01-02,USA,Electronics,687,171.75,3,1,Winter
2022-10-17,USA,Electronics,3996,999.0,4,10,Autumn
2024-10-15,Brazil,Apparel,360,90.0,3,10,Autumn
2023-11-21,UK,Electronics,229,57.25,1,11,Autumn
2024-06-29,Canada,Toys,398,99.5,2,6,Summer
2022-10-17,UK,Apparel,330,82.5,3,10,Autumn
2024-07-02,Germany,Home & Kitchen,798,199.5,2,7,Summer
2022-10-15,UK,Toys,236,59.0,4,10,Autumn
2022-08-27,UK,Books,160,40.0,2,8,Summer
2023-05-25,USA,Apparel,360,90.0,3,5,Spring
2025-07-12,Germany,Sports,125,31.25,5,7,Summer
2024-02-24,Canada,Apparel,177,44.25,3,2,Winter
2024-05-28,France,Books,80,20.0,1,5,Spring
2024-09-29,UK,Sports,149,37.25,1,9,Autumn
2023-09-23,Brazil,Apparel,59,14.75,1,9,Autumn
2025-01-03,China,Apparel,236,59.0,4,1,Winter
2022-08-25,Australia,Books,645,161.25,5,8,Summer
2025-03-09,Australia,Toys,118,29.5,2,3,Spring
2024-03-20,France,Apparel,480,120.0,4,3,Spring
2023-10-19,France,Electronics,398,99.5,2,10,Autumn
2023-01-16,China,Home & Kitchen,1995,498.75,5,1,Winter
2024-04-25,Australia,Books,240,60.0,3,4,Spring
2023-11-17,Germany,Home & Kitchen,198,49.5,2,11,Autumn
2024-10-18,France,Electronics,1798,449.5,2,10,Autumn
2025-02-03,India,Sports,100,25.0,4,2,Winter
2023-10-25,USA,Books,160,40.0,2,10,Autumn
2025-06-30,UK,Home & Kitchen,198,49.5,2,6,Summer
2023-03-23,Brazil,Home & Kitchen,1596,399.0,4,3,Spring
2023-03-11,India,Home & Kitchen,1995,498.75,5,3,Spring
2023-11-22,Brazil,Electronics,4495,1123.75,5,11,Autumn
2024-09-27,Australia,Apparel,440,110.0,4,9,Autumn
2025-02-13,India,Sports,298,74.5,2,2,Winter
2024-12-25,India,Toys,796,199.0,4,12,Winter
2024-01-05,Brazil,Electronics,458,114.5,2,1,Winter
2024-09-24,Brazil,Electronics,899,224.75,1,9,Autumn
2023-12-23,UK,Home & Kitchen,198,49.5,2,12,Winter
2023-05-24,Germany,Apparel,360,90.0,3,5,Spring
2024-12-10,India,Electronics,796,199.0,4,12,Winter
2023-11-23,UK,Apparel,295,73.75,5,11,Autumn
2024-09-08,Canada,Apparel,240,60.0,2,9,Autumn
2024-02-27,France,Toys,199,49.75,1,2,Winter
2023-09-07,Canada,Toys,796,199.0,4,9,Autumn
2025-04-01,UK,Electronics,2697,674.25,3,4,Spring
2025-03-20,Australia,Apparel,550,137.5,5,3,Spring
2023-06-20,Australia,Electronics,458,114.5,2,6,Summer
2025-07-19,India,Electronics,1998,499.5,2,7,Summer
2025-04-22,France,Books,387,96.75,3,4,Spring
2023-04-12,China,Electronics,916,229.0,4,4,Spring
2024-03-11,China,Apparel,236,59.0,4,3,Spring
2025-04-02,USA,Books,160,40.0,2,4,Spring
2023-12-20,Brazil,Books,320,80.0,4,12,Winter
2022-12-22,Australia,Sports,75,18.75,3,12,Winter
2022-09-12,India,Electronics,1998,499.5,2,9,Autumn
2024-04-27,France,Electronics,1798,449.5,2,4,Spring
2024-04-09,Japan,Electronics,995,248.75,5,4,Spring
2024-06-23,UK,Books,400,100.0,5,6,Summer
2025-07-18,Brazil,Sports,149,37.25,1,7,Summer
2025-01-16,USA,Books,516,129.0,4,1,Winter
2023-04-30,Australia,Home & Kitchen,399,99.75,1,4,Spring
2024-12-23,India,Electronics,796,199.0,4,12,Winter
2024-03-24,China,Sports,100,25.0,4,3,Spring
2024-06-17,China,Electronics,1998,499.5,2,6,Summer
2023-01-06,France,Electronics,2997,749.25,3,1,Winter
2023-12-21,UK,Sports,100,25.0,4,12,Winter
2025-05-25,Australia,Electronics,916,229.0,4,5,Spring
2022-10-09,Brazil,Books,387,96.75,3,10,Autumn
2025-08-18,India,Apparel,600,150.0,5,8,Summer
2022-12-20,France,Electronics,687,171.75,3,12,Winter
2022-09-24,Australia,Electronics,995,248.75,5,9,Autumn
